car_id,production_company,car_model,car_color,production_year,is_electric,price,image_url,rental,rating
121,Nissan,Altima,White,2022,0,25000.00,https://example.com/images/nissan-altima.jpg,0,0
122,Nissan,Sentra,"Light Gray",2021,0,20000.00,https://example.com/images/nissan-sentra.jpg,1,0
123,Nissan,Rogue,Red,2020,0,28000.00,https://example.com/images/nissan-rogue.jpg,1,0
124,Nissan,Murano,Blue,2019,0,32000.00,https://example.com/images/nissan-murano.jpg,1,0
125,Nissan,Pathfinder,Black,2023,0,34000.00,https://example.com/images/nissan-pathfinder.jpg,1,0
126,Chevrolet,Silverado,Gray,2022,0,45000.00,https://example.com/images/chevrolet-silverado.jpg,1,0
127,Chevrolet,Malibu,White,2021,0,24000.00,https://example.com/images/chevrolet-malibu.jpg,1,0
128,Chevrolet,Equinox,"Light Gray",2020,0,28000.00,https://example.com/images/chevrolet-equinox.jpg,1,0
129,Chevrolet,Traverse,Red,2019,0,35000.00,https://example.com/images/chevrolet-traverse.jpg,1,0
130,Chevrolet,Tahoe,Blue,2023,0,50000.00,https://example.com/images/chevrolet-tahoe.jpg,1,0
131,Tesla,"Model S",Black,2022,1,90000.00,https://example.com/images/tesla-models.jpg,1,0
132,Tesla,"Model 3",Gray,2021,1,45000.00,https://example.com/images/tesla-model3.jpg,1,0
133,Tesla,"Model X",White,2020,1,120000.00,https://example.com/images/tesla-modelx.jpg,1,0
134,Tesla,"Model Y","Light Gray",2023,1,60000.00,https://example.com/images/tesla-modely.jpg,1,0
135,Tesla,Cybertruck,Red,2022,1,70000.00,https://example.com/images/tesla-cybertruck.jpg,1,0
